trip_id,customer_id,driver_id,pickup_datetime,dropoff_datetime,pickup_location,dropoff_location,distance_km,fare_amount,trip_status,created_datetime,updated_datetime
15,722,8,2026-07-11 15:09:43,2026-07-11 15:52:43,Randallview,East Johnburgh,39.43,129.58,Completed,2026-07-11 15:09:43,2026-08-22 15:09:43
16,55,26,2026-04-22 09:44:42,2026-04-22 09:59:42,Cassandramouth,North Timothy,24.69,58.48,Completed,2026-04-22 09:44:42,2026-05-05 09:44:42
17,748,139,2025-11-23 02:07:36,2025-11-23 02:38:36,Brandonport,North Patriciafort,28.19,82.99,Completed,2025-11-23 02:07:36,2025-12-12 02:07:36
18,586,141,2025-09-18 02:34:11,2025-09-18 02:58:11,Michaelfort,Evelynstad,10.26,16.41,Completed,2025-09-18 02:34:11,2025-09-28 02:34:11
19,302,211,2025-09-01 19:57:42,2025-09-01 20:05:42,Peterchester,Tuckerhaven,15.07,35.49,Completed,2025-09-01 19:57:42,2025-10-10 19:57:42
20,175,164,2026-02-04 20:01:31,2026-02-04 20:36:31,Port Jamesmouth,Dawnfurt,8.79,13.64,Completed,2026-02-04 20:01:31,2026-02-10 20:01:31
21,408,121,2026-04-18 11:53:06,2026-04-18 12:28:06,Morganview,East Danieltown,33.91,71.78,Completed,2026-04-18 11:53:06,2026-05-31 11:53:06
22,190,95,2025-11-17 21:50:17,2025-11-17 22:11:17,Lauraview,Jefferychester,4.55,11.78,Completed,2025-11-17 21:50:17,2025-12-11 21:50:17
23,477,68,2026-01-24 20:21:37,2026-01-24 20:37:37,Port Yolanda,Marychester,18.39,37.27,Completed,2026-01-24 20:21:37,2026-02-11 20:21:37
24,684,25,2026-04-02 04:17:12,2026-04-02 04:58:12,Hernandezside,Port Marc,3.4,10.22,Completed,2026-04-02 04:17:12,2026-04-25 04:17:12
25,604,59,2025-08-17 02:04:34,2025-08-17 03:00:34,Josephfurt,Lake Jamesstad,22.12,76.12,Completed,2025-08-17 02:04:34,2025-10-10 02:04:34
26,549,176,2026-01-02 21:13:29,2026-01-02 21:42:29,East Billy,Lake Kyleborough,32.92,76.94,Completed,2026-01-02 21:13:29,2026-02-02 21:13:29
27,81,102,2025-09-17 15:43:47,2025-09-17 16:24:47,New David,Port Elizabethport,35.38,86.77,Cancelled,2025-09-17 15:43:47,2025-11-02 15:43:47
28,820,147,2025-09-29 23:01:36,2025-09-29 23:08:36,Mariaside,Port Kristenfurt,20.58,67.93,Completed,2025-09-29 23:01:36,2025-11-08 23:01:36
29,178,243,2026-01-30 13:30:47,2026-01-30 13:44:47,Port Veronicaville,Port Emilyshire,5.69,17.15,No Show,2026-01-30 13:30:47,2026-02-13 13:30:47
30,81,175,2025-11-08 14:26:17,2025-11-08 15:22:17,Ryanmouth,Navarrohaven,8.52,13.51,Completed,2025-11-08 14:26:17,2025-12-31 14:26:17
31,328,234,2026-01-05 21:00:38,2026-01-05 21:45:38,Wagnerport,Whitneyview,6.77,18.21,Completed,2026-01-05 21:00:38,2026-02-26 21:00:38
32,566,84,2025-11-05 07:12:25,2025-11-05 07:21:25,Port John,Morrowmouth,4.39,11.47,Completed,2025-11-05 07:12:25,2025-12-09 07:12:25
33,718,160,2026-03-15 17:43:25,2026-03-15 18:17:25,New Justinville,North Douglas,36.77,56.06,Completed,2026-03-15 17:43:25,2026-05-05 17:43:25
34,581,151,2026-03-16 21:27:19,2026-03-16 21:58:19,South Nathanhaven,Scottborough,5.39,9.7,Completed,2026-03-16 21:27:19,2026-03-23 21:27:19
35,293,223,2026-02-11 20:13:35,2026-02-11 20:24:35,Scottfurt,Port Brandiborough,22.94,39.04,Completed,2026-02-11 20:13:35,2026-03-06 20:13:35
36,586,156,2025-09-17 12:40:53,2025-09-17 13:11:53,North Michael,Rebeccaburgh,11.3,31.75,Completed,2025-09-17 12:40:53,2025-09-29 12:40:53
37,698,178,2026-07-02 11:53:10,2026-07-02 12:15:10,Port Morgan,Lake Elizabethberg,16.72,45.75,Completed,2026-07-02 11:53:10,2026-07-28 11:53:10
38,487,236,2026-07-07 11:46:29,2026-07-07 12:12:29,Smithtown,Danaborough,27.93,44.65,Completed,2026-07-07 11:46:29,2026-07-31 11:46:29
39,319,72,2025-08-21 00:59:21,2025-08-21 01:05:21,Valerieside,Jasonchester,14.18,43.78,Completed,2025-08-21 00:59:21,2025-10-15 00:59:21
40,234,35,2026-03-04 09:23:49,2026-03-04 10:12:49,Snyderton,Laurenfurt,27.71,95.46,Completed,2026-03-04 09:23:49,2026-04-21 09:23:49
41,747,107,2026-07-15 18:35:15,2026-07-15 19:08:15,Port Troymouth,New Ericshire,31.19,66.8,Completed,2026-07-15 18:35:15,2026-07-21 18:35:15
42,417,190,2026-04-03 22:55:45,2026-04-03 23:12:45,Karenview,Millermouth,18.23,60.65,Completed,2026-04-03 22:55:45,2026-05-07 22:55:45
43,811,41,2026-06-07 12:29:04,2026-06-07 13:29:04,West Robertbury,South Darlenehaven,15.58,25.12,Completed,2026-06-07 12:29:04,2026-07-23 12:29:04
44,537,226,2025-10-16 18:11:26,2025-10-16 18:48:26,Port Tonystad,North Karenport,16.73,51.21,Completed,2025-10-16 18:11:26,2025-10-28 18:11:26
45,60,64,2026-06-20 01:19:15,2026-06-20 01:36:15,Lake Lisa,Phillipsside,35.13,66.8,Completed,2026-06-20 01:19:15,2026-06-24 01:19:15
46,844,119,2026-03-13 10:12:48,2026-03-13 10:40:48,Josephhaven,Taylorfort,28.48,58.33,Completed,2026-03-13 10:12:48,2026-04-23 10:12:48
47,501,153,2026-07-05 03:00:44,2026-07-05 03:12:44,Donaldburgh,New Adamville,27.57,54.7,Completed,2026-07-05 03:00:44,2026-08-30 03:00:44
48,168,215,2025-08-28 12:59:25,2025-08-28 13:34:25,North Josephfurt,Jennifershire,23.89,52.55,Completed,2025-08-28 12:59:25,2025-10-15 12:59:25
49,396,13,2025-11-16 08:13:49,2025-11-16 09:11:49,West Jeremiah,West John,27.87,57.69,Completed,2025-11-16 08:13:49,2025-12-23 08:13:49
50,663,58,2026-06-28 03:02:51,2026-06-28 03:56:51,North Michelle,Robertton,38.63,124.17,Completed,2026-06-28 03:02:51,2026-07-16 03:02:51
51,800,248,2025-10-14 11:18:35,2025-10-14 12:04:35,New Jeanette,Jonesport,16.97,26.14,Completed,2025-10-14 11:18:35,2025-10-15 11:18:35
52,616,206,2026-05-27 14:07:09,2026-05-27 14:42:09,Allenborough,Wrightburgh,36.55,102.15,Completed,2026-05-27 14:07:09,2026-06-13 14:07:09
53,991,182,2025-11-22 20:29:49,2025-11-22 21:12:49,Livingstonside,West Valeriestad,32.4,68.39,Completed,2025-11-22 20:29:49,2025-12-20 20:29:49
54,224,120,2025-09-23 23:26:01,2025-09-23 23:55:01,Port Matthewmouth,Shannonview,34.21,82.72,Completed,2025-09-23 23:26:01,2025-10-27 23:26:01
55,8,131,2026-06-20 05:09:29,2026-06-20 06:06:29,North Sierra,East Renee,25.32,67.58,No Show,2026-06-20 05:09:29,2026-08-13 05:09:29
56,624,73,2025-10-18 15:30:18,2025-10-18 16:28:18,North Patricia,Lake Michael,15.59,43.57,Completed,2025-10-18 15:30:18,2025-10-25 15:30:18
57,656,84,2025-07-31 02:33:23,2025-07-31 03:08:23,Ellisfurt,West Jasminechester,3.49,12.13,Completed,2025-07-31 02:33:23,2025-08-17 02:33:23
58,306,49,2026-06-16 12:51:56,2026-06-16 13:37:56,Annettemouth,West Karen,28.73,94.37,Completed,2026-06-16 12:51:56,2026-08-04 12:51:56
59,822,208,2026-01-21 00:38:42,2026-01-21 00:58:42,Luisland,South Heather,36.09,112.27,Completed,2026-01-21 00:38:42,2026-03-05 00:38:42
60,672,128,2026-07-04 05:02:01,2026-07-04 05:27:01,Lake Debrafort,South Jackview,27.55,81.07,No Show,2026-07-04 05:02:01,2026-07-21 05:02:01
61,598,182,2025-09-10 01:23:29,2025-09-10 01:54:29,New Todd,New Juliaview,16.78,49.89,No Show,2025-09-10 01:23:29,2025-11-02 01:23:29
62,703,137,2025-09-05 03:57:27,2025-09-05 04:14:27,Port Alyssafurt,New Dennis,14.38,42.09,Completed,2025-09-05 03:57:27,2025-10-06 03:57:27
63,175,216,2026-07-13 05:00:03,2026-07-13 05:47:03,Madisonland,North Ethanberg,14.98,31.46,Completed,2026-07-13 05:00:03,2026-08-18 05:00:03
64,759,67,2026-03-13 10:00:59,2026-03-13 10:16:59,West Thomasbury,East Jesusfurt,12.46,30.42,Completed,2026-03-13 10:00:59,2026-04-18 10:00:59
65,922,86,2025-09-08 08:22:23,2025-09-08 09:15:23,West Nicolemouth,Andersonmouth,36.59,124.18,Completed,2025-09-08 08:22:23,2025-09-23 08:22:23
66,431,202,2025-11-05 12:25:40,2025-11-05 12:52:40,Reidchester,Braunshire,9.71,31.49,Completed,2025-11-05 12:25:40,2025-11-29 12:25:40
67,121,121,2025-08-15 08:32:18,2025-08-15 08:53:18,Christensenton,Ralphstad,23.84,57.87,Completed,2025-08-15 08:32:18,2025-09-25 08:32:18
68,484,228,2026-05-10 17:12:36,2026-05-10 17:54:36,Lake Ginafurt,Littleburgh,23.63,64.78,Completed,2026-05-10 17:12:36,2026-05-18 17:12:36
69,424,14,2025-12-08 00:23:51,2025-12-08 01:23:51,Daltonmouth,Cynthiabury,27.55,70.52,Completed,2025-12-08 00:23:51,2025-12-18 00:23:51
70,584,229,2025-09-22 11:48:01,2025-09-22 12:01:01,Smithstad,Lake Kristenville,39.7,86.76,Cancelled,2025-09-22 11:48:01,2025-10-22 11:48:01
71,798,21,2025-12-23 16:11:04,2025-12-23 16:25:04,New Julietown,South Angelafurt,13.34,39.1,Completed,2025-12-23 16:11:04,2026-02-02 16:11:04
72,463,71,2025-10-14 23:47:43,2025-10-15 00:03:43,Lake Amanda,Maddoxside,13.22,21.36,Completed,2025-10-14 23:47:43,2025-12-03 23:47:43
73,805,196,2025-12-06 01:13:37,2025-12-06 01:28:37,Shanetown,Barkermouth,23.47,42.64,Completed,2025-12-06 01:13:37,2025-12-15 01:13:37
74,440,248,2026-01-29 20:39:48,2026-01-29 21:23:48,Brightchester,South Howardfurt,17.91,42.25,Completed,2026-01-29 20:39:48,2026-01-30 20:39:48
75,973,4,2025-09-11 12:56:44,2025-09-11 13:03:44,Sierrafurt,East Jerryhaven,21.82,64.62,Completed,2025-09-11 12:56:44,2025-10-30 12:56:44
76,5,161,2026-01-12 18:14:44,2026-01-12 19:12:44,New Gabriel,Ramirezville,21.71,33.34,Completed,2026-01-12 18:14:44,2026-01-27 18:14:44
77,106,99,2026-07-16 04:08:16,2026-07-16 04:57:16,Garciaport,New Laura,35.2,74.77,Completed,2026-07-16 04:08:16,2026-08-05 04:08:16
78,972,75,2025-07-25 05:01:15,2025-07-25 05:16:15,Guerreroport,North Ginamouth,3.55,5.65,Completed,2025-07-25 05:01:15,2025-08-28 05:01:15
79,704,35,2026-07-13 10:32:17,2026-07-13 11:15:17,Port Ericport,West Jessicafort,21.44,50.76,Completed,2026-07-13 10:32:17,2026-09-09 10:32:17
80,971,233,2026-02-06 01:31:41,2026-02-06 02:07:41,Smithburgh,Kelleybury,15.01,28.17,Cancelled,2026-02-06 01:31:41,2026-03-04 01:31:41
81,135,55,2026-06-10 17:44:06,2026-06-10 17:50:06,New Deniseville,East Danaton,9.91,29.28,Completed,2026-06-10 17:44:06,2026-07-18 17:44:06
82,667,203,2025-11-11 14:31:55,2025-11-11 15:08:55,New Lauren,Lake Cassandraburgh,7.59,16.95,Completed,2025-11-11 14:31:55,2026-01-07 14:31:55
83,50,153,2026-04-09 01:05:56,2026-04-09 01:50:56,Lake Glenn,West Christopher,10.98,28.21,No Show,2026-04-09 01:05:56,2026-05-22 01:05:56
84,707,30,2026-01-15 06:04:27,2026-01-15 06:15:27,Johnsonton,East Karen,26.49,40.78,Completed,2026-01-15 06:04:27,2026-02-09 06:04:27
85,157,53,2026-01-07 20:14:51,2026-01-07 20:26:51,Aaronfurt,Port Sandra,22.34,54.71,Completed,2026-01-07 20:14:51,2026-02-17 20:14:51
86,679,134,2025-08-26 04:28:06,2025-08-26 04:33:06,Lake Vincentside,Port Gregory,12.74,35.97,Completed,2025-08-26 04:28:06,2025-10-04 04:28:06
87,108,131,2026-06-12 23:12:48,2026-06-13 00:01:48,Davisburgh,Andrewchester,6.35,20.07,Completed,2026-06-12 23:12:48,2026-06-20 23:12:48
88,204,156,2026-04-08 14:50:10,2026-04-08 15:13:10,Carolynland,Lake Zacharyhaven,5.45,9.33,Completed,2026-04-08 14:50:10,2026-04-25 14:50:10
89,721,105,2025-12-06 02:44:36,2025-12-06 03:42:36,Garzaside,Herreraton,21.4,40.73,Completed,2025-12-06 02:44:36,2025-12-09 02:44:36
90,956,124,2026-01-17 15:28:46,2026-01-17 16:08:46,Port Mark,Hoffmanfort,20.36,39.0,Completed,2026-01-17 15:28:46,2026-01-18 15:28:46
91,856,147,2025-12-24 12:56:45,2025-12-24 13:01:45,Port Cynthia,Hernandezhaven,27.19,90.1,Completed,2025-12-24 12:56:45,2026-01-03 12:56:45
92,741,26,2026-06-23 06:47:49,2026-06-23 06:57:49,West Carlos,East Kathytown,31.4,51.81,Cancelled,2026-06-23 06:47:49,2026-08-04 06:47:49
93,271,119,2026-02-19 16:33:37,2026-02-19 16:52:37,New Joseph,Jenniferside,18.81,64.98,Completed,2026-02-19 16:33:37,2026-04-13 16:33:37
94,369,206,2025-08-24 03:39:12,2025-08-24 03:55:12,Jenniferside,Jessicaberg,35.09,112.45,Completed,2025-08-24 03:39:12,2025-09-21 03:39:12
95,912,12,2025-09-03 19:36:45,2025-09-03 20:28:45,Maryborough,New Trevor,5.52,17.68,Completed,2025-09-03 19:36:45,2025-09-12 19:36:45
96,916,113,2026-04-20 12:13:58,2026-04-20 13:00:58,Lake Lindaville,Michelleshire,26.24,56.61,Cancelled,2026-04-20 12:13:58,2026-05-08 12:13:58
97,188,30,2026-05-22 05:32:51,2026-05-22 06:23:51,Nicholaston,North Matthew,4.63,14.49,Completed,2026-05-22 05:32:51,2026-06-21 05:32:51
98,490,205,2025-09-06 10:26:10,2025-09-06 10:48:10,Jonesbury,Wrightmouth,33.59,96.73,Completed,2025-09-06 10:26:10,2025-11-02 10:26:10
99,744,16,2026-01-02 04:17:07,2026-01-02 05:13:07,South Tiffanyshire,South Alyssaberg,7.5,13.24,No Show,2026-01-02 04:17:07,2026-02-26 04:17:07
100,495,206,2026-02-09 16:33:21,2026-02-09 16:48:21,Jordantown,East Davidmouth,5.04,16.75,Completed,2026-02-09 16:33:21,2026-03-10 16:33:21
101,627,8,2026-07-08 03:34:03,2026-07-08 03:50:03,New Brandonhaven,Amyton,24.84,75.97,Completed,2026-07-08 03:34:03,2026-09-03 03:34:03
102,495,236,2025-07-23 15:13:12,2025-07-23 16:11:12,Cookside,Debraville,29.36,96.4,Completed,2025-07-23 15:13:12,2025-09-18 15:13:12
103,671,81,2026-03-24 21:48:42,2026-03-24 22:19:42,Zoefort,Timothyville,18.19,29.59,Completed,2026-03-24 21:48:42,2026-05-19 21:48:42
104,742,145,2026-02-19 12:42:54,2026-02-19 13:30:54,Clarkberg,Leeport,21.47,64.14,Completed,2026-02-19 12:42:54,2026-04-03 12:42:54
105,718,159,2025-08-21 14:09:42,2025-08-21 15:09:42,Michelleborough,Port Abigailbury,14.19,36.13,Completed,2025-08-21 14:09:42,2025-10-03 14:09:42
106,693,165,2026-03-11 18:06:16,2026-03-11 18:57:16,North Marc,East Steve,10.69,23.43,Completed,2026-03-11 18:06:16,2026-05-04 18:06:16
107,56,3,2026-03-01 08:53:19,2026-03-01 09:50:19,Bradleymouth,North Tyler,22.78,79.17,Completed,2026-03-01 08:53:19,2026-03-12 08:53:19
108,891,43,2026-04-27 03:50:42,2026-04-27 04:27:42,North Alex,Lake Rebecca,34.1,109.25,Completed,2026-04-27 03:50:42,2026-05-29 03:50:42
109,52,130,2025-10-25 20:09:44,2025-10-25 20:34:44,Amandamouth,Ericksonview,10.39,35.74,Completed,2025-10-25 20:09:44,2025-12-06 20:09:44
110,471,114,2025-10-04 06:00:11,2025-10-04 06:29:11,Derrickhaven,Davistown,16.73,32.96,Completed,2025-10-04 06:00:11,2025-11-02 06:00:11
111,122,128,2026-05-04 08:37:02,2026-05-04 08:47:02,Smithton,Mitchellview,34.41,82.38,Completed,2026-05-04 08:37:02,2026-05-06 08:37:02
112,563,1,2025-11-04 22:38:09,2025-11-04 22:49:09,Washingtonville,North Briannaton,16.73,26.29,Completed,2025-11-04 22:38:09,2025-12-25 22:38:09
113,912,131,2026-02-05 19:37:58,2026-02-05 20:20:58,Tuckermouth,Matthewfurt,38.56,107.01,Completed,2026-02-05 19:37:58,2026-03-19 19:37:58
114,846,14,2026-06-27 06:10:49,2026-06-27 06:57:49,Edwardchester,North Melissa,18.79,40.99,Completed,2026-06-27 06:10:49,2026-08-21 06:10:49
115,615,122,2026-03-13 21:08:12,2026-03-13 21:42:12,West Melissafort,South Cherylstad,13.95,42.34,Completed,2026-03-13 21:08:12,2026-04-06 21:08:12
116,675,57,2026-06-08 14:34:37,2026-06-08 15:24:37,North Matthew,Dixonborough,18.65,31.61,Completed,2026-06-08 14:34:37,2026-07-01 14:34:37
117,561,134,2026-02-27 04:55:43,2026-02-27 05:53:43,East Brittanybury,Rosshaven,25.71,79.7,Completed,2026-02-27 04:55:43,2026-03-06 04:55:43
118,842,184,2026-05-18 18:16:47,2026-05-18 18:23:47,South Barbara,Millerton,35.98,89.4,Completed,2026-05-18 18:16:47,2026-06-14 18:16:47
119,124,239,2026-07-12 12:49:32,2026-07-12 13:00:32,Stevenfurt,Rivasview,10.92,20.66,Completed,2026-07-12 12:49:32,2026-07-26 12:49:32
120,347,28,2025-12-27 06:23:31,2025-12-27 06:57:31,Taylorhaven,Alexstad,33.16,62.38,Completed,2025-12-27 06:23:31,2025-12-30 06:23:31
121,791,229,2026-02-02 04:47:23,2026-02-02 05:32:23,Lake Stephen,Tiffanyport,33.66,90.13,Completed,2026-02-02 04:47:23,2026-03-17 04:47:23
122,511,2,2025-08-29 23:06:49,2025-08-29 23:48:49,Fuentesfurt,New Garyburgh,38.29,67.75,Completed,2025-08-29 23:06:49,2025-09-02 23:06:49
123,495,237,2026-07-05 19:57:36,2026-07-05 20:37:36,Smithland,East Ian,37.48,119.1,Completed,2026-07-05 19:57:36,2026-09-02 19:57:36
124,835,33,2025-11-11 15:57:19,2025-11-11 16:13:19,Port Markland,Lake Tracy,27.98,51.69,Completed,2025-11-11 15:57:19,2025-12-24 15:57:19
125,903,99,2026-06-26 01:57:03,2026-06-26 02:40:03,Port Martha,Port Joannshire,24.64,52.82,Completed,2026-06-26 01:57:03,2026-08-04 01:57:03
126,987,88,2026-05-30 06:05:10,2026-05-30 06:54:10,Port Denniston,Port Darlene,30.73,62.91,Cancelled,2026-05-30 06:05:10,2026-06-28 06:05:10
127,717,227,2026-04-17 23:04:33,2026-04-18 00:00:33,Glennstad,Ramirezport,6.2,14.42,Completed,2026-04-17 23:04:33,2026-05-07 23:04:33
128,729,189,2026-01-21 11:00:53,2026-01-21 11:58:53,Catherinechester,Longborough,28.36,91.36,Cancelled,2026-01-21 11:00:53,2026-03-03 11:00:53
129,298,176,2026-03-13 17:56:04,2026-03-13 18:14:04,Anthonyland,Scottborough,8.83,24.27,Completed,2026-03-13 17:56:04,2026-04-26 17:56:04
130,982,46,2025-10-27 15:13:06,2025-10-27 15:26:06,Port Lisa,West Rebecca,39.27,109.96,Completed,2025-10-27 15:13:06,2025-12-11 15:13:06
131,361,144,2026-03-21 14:59:52,2026-03-21 15:44:52,West Drew,Blackburnstad,13.57,23.49,Completed,2026-03-21 14:59:52,2026-04-27 14:59:52
132,916,216,2025-11-19 00:55:14,2025-11-19 01:42:14,New Ariel,New Earlland,28.69,81.72,Completed,2025-11-19 00:55:14,2026-01-15 00:55:14
133,110,7,2026-02-27 10:21:12,2026-02-27 11:20:12,Jameston,Brownbury,17.47,26.65,Completed,2026-02-27 10:21:12,2026-03-03 10:21:12
134,805,42,2025-09-09 11:23:25,2025-09-09 12:10:25,New Hannah,East Angelahaven,3.21,6.53,No Show,2025-09-09 11:23:25,2025-10-23 11:23:25
135,804,76,2026-01-23 22:28:30,2026-01-23 22:49:30,East Benjamin,Ramirezport,6.71,10.9,Completed,2026-01-23 22:28:30,2026-02-27 22:28:30
136,631,223,2025-11-24 12:47:34,2025-11-24 12:54:34,South Richard,Morgantown,14.99,36.05,Completed,2025-11-24 12:47:34,2025-12-30 12:47:34
137,399,61,2025-12-02 00:21:49,2025-12-02 01:21:49,East Rhonda,Shawtown,9.75,27.24,Completed,2025-12-02 00:21:49,2026-01-22 00:21:49
138,49,238,2025-10-26 10:56:49,2025-10-26 11:52:49,West Kristenmouth,East Kimberlyhaven,28.15,81.24,Completed,2025-10-26 10:56:49,2025-11-22 10:56:49
139,566,14,2026-03-25 13:37:24,2026-03-25 14:32:24,Mariemouth,Lake Cynthiaburgh,39.06,83.01,Completed,2026-03-25 13:37:24,2026-04-11 13:37:24
140,892,114,2025-09-14 00:21:11,2025-09-14 00:38:11,East Jilliantown,West Angela,25.2,77.16,Completed,2025-09-14 00:21:11,2025-11-12 00:21:11
141,774,151,2026-03-11 06:45:24,2026-03-11 07:30:24,Lake Erikshire,North Michael,28.48,79.61,Completed,2026-03-11 06:45:24,2026-04-19 06:45:24
142,302,115,2026-05-14 03:01:14,2026-05-14 03:18:14,Merrittfurt,East Austin,31.27,107.21,Completed,2026-05-14 03:01:14,2026-06-27 03:01:14
143,527,31,2026-05-21 20:12:44,2026-05-21 20:21:44,Michaelside,Ortiztown,8.29,15.32,Completed,2026-05-21 20:12:44,2026-06-18 20:12:44
144,599,217,2026-06-08 13:12:25,2026-06-08 13:34:25,Lake Craig,Terrichester,22.71,39.97,Completed,2026-06-08 13:12:25,2026-06-30 13:12:25
145,158,238,2025-11-03 19:40:26,2025-11-03 20:14:26,Meganfurt,West Derekton,28.68,51.9,Completed,2025-11-03 19:40:26,2025-11-07 19:40:26
146,678,78,2026-03-05 01:40:56,2026-03-05 02:34:56,Port Nicholasfort,Hannastad,37.36,102.04,Completed,2026-03-05 01:40:56,2026-04-11 01:40:56
147,326,135,2026-03-20 14:54:32,2026-03-20 15:34:32,West Darrell,Waynebury,14.97,45.93,Completed,2026-03-20 14:54:32,2026-04-01 14:54:32
148,426,140,2026-01-01 23:21:10,2026-01-01 23:59:10,North Edward,South Stefanie,3.66,9.19,Completed,2026-01-01 23:21:10,2026-01-07 23:21:10
149,340,85,2025-08-10 20:11:16,2025-08-10 20:38:16,Barbarafurt,North Kristin,9.63,18.55,Completed,2025-08-10 20:11:16,2025-08-24 20:11:16
150,575,211,2025-09-23 20:20:31,2025-09-23 21:13:31,South Jamesport,Port Stephanieville,25.11,61.51,Completed,2025-09-23 20:20:31,2025-11-04 20:20:31
151,247,232,2025-11-01 01:00:56,2025-11-01 01:05:56,Markmouth,North Jenniferberg,5.47,11.99,Completed,2025-11-01 01:00:56,2025-12-30 01:00:56
152,907,83,2026-05-23 22:12:31,2026-05-23 22:56:31,Bennettmouth,Port Matthew,10.51,16.6,Completed,2026-05-23 22:12:31,2026-07-13 22:12:31
153,290,7,2025-10-03 19:55:46,2025-10-03 20:07:46,West Amber,Rickystad,16.05,41.42,Cancelled,2025-10-03 19:55:46,2025-11-25 19:55:46
154,457,125,2026-07-12 23:31:08,2026-07-13 00:25:08,New Steven,Port Michelletown,15.62,48.51,Completed,2026-07-12 23:31:08,2026-09-08 23:31:08
155,971,25,2026-05-26 20:56:47,2026-05-26 21:42:47,East Matthewport,Sandraberg,8.51,21.51,Completed,2026-05-26 20:56:47,2026-07-15 20:56:47
156,216,172,2026-04-19 14:28:09,2026-04-19 15:07:09,Hamiltonside,East Josephport,21.8,60.03,Completed,2026-04-19 14:28:09,2026-05-03 14:28:09
157,211,138,2025-10-22 02:09:31,2025-10-22 03:09:31,Rebeccamouth,Lake Samuelbury,27.73,87.94,Completed,2025-10-22 02:09:31,2025-12-18 02:09:31
158,963,19,2025-11-10 04:22:23,2025-11-10 05:14:23,Caldwellburgh,Arellanofurt,31.23,87.23,Completed,2025-11-10 04:22:23,2025-11-20 04:22:23
159,90,19,2026-06-18 11:46:53,2026-06-18 11:52:53,Connorburgh,Griffinburgh,18.91,40.91,Completed,2026-06-18 11:46:53,2026-08-08 11:46:53
160,234,234,2025-07-21 11:01:56,2025-07-21 11:22:56,East Charles,West Patricia,22.77,60.34,Completed,2025-07-21 11:01:56,2025-08-15 11:01:56
161,18,100,2025-11-18 22:01:45,2025-11-18 22:34:45,Port Jacquelinemouth,North Taylorhaven,25.58,60.52,Completed,2025-11-18 22:01:45,2025-12-23 22:01:45
162,775,191,2026-05-05 15:13:20,2026-05-05 15:18:20,Lake Jeffport,South Ashleyview,26.02,71.21,Completed,2026-05-05 15:13:20,2026-06-19 15:13:20
163,109,75,2025-12-26 04:42:44,2025-12-26 05:41:44,Lopezshire,Smithburgh,3.83,12.85,Completed,2025-12-26 04:42:44,2026-01-15 04:42:44
164,449,98,2026-06-06 04:43:52,2026-06-06 05:26:52,Port Frankstad,Williamsberg,4.37,13.24,Completed,2026-06-06 04:43:52,2026-07-19 04:43:52
