vehicle_id,driver_id,vehicle_model,vehicle_year,license_plate,created_datetime,updated_datetime
83,83,Toyota Prius,2019,wfF-2415,2023-01-25 03:20:39,2025-03-13 03:20:39
84,84,Tesla Model Y,2023,Lfm-9159,2024-06-13 04:09:40,2026-11-30 04:09:40
85,85,Honda Civic,2024,dMg-5239,2022-03-07 16:56:28,2022-11-15 16:56:28
86,86,Honda Accord,2021,Cdc-3123,2021-10-20 08:25:24,2023-04-09 08:25:24
87,87,Kia Forte,2023,dZU-6876,2021-10-07 06:21:32,2024-03-03 06:21:32
88,88,Kia Forte,2023,PMo-6441,2024-05-11 10:29:21,2025-12-22 10:29:21
89,89,Tesla Model 3,2025,nzv-8870,2024-01-21 21:00:41,2026-05-07 21:00:41
90,90,Toyota Corolla,2018,bkA-1685,2023-11-21 07:20:28,2024-02-06 07:20:28
91,91,Honda Civic,2025,KXI-0676,2025-05-19 20:00:48,2025-07-04 20:00:48
92,92,Honda Civic,2020,jSi-1623,2022-09-11 23:13:28,2024-01-05 23:13:28
93,93,Tesla Model Y,2018,nsV-5469,2024-09-18 21:39:21,2025-12-30 21:39:21
94,94,Hyundai Elantra,2020,Njl-9805,2024-06-23 13:11:52,2026-05-19 13:11:52
95,95,Kia Forte,2020,gKC-9634,2022-11-04 11:22:32,2023-09-10 11:22:32
96,96,Honda Civic,2023,gsd-1598,2021-10-12 16:30:00,2022-07-25 16:30:00
97,97,Honda Civic,2023,bEh-5055,2025-07-07 15:15:39,2027-06-17 15:15:39
98,98,Tesla Model 3,2018,cYI-3245,2023-10-07 09:34:07,2024-12-15 09:34:07
99,99,Kia Forte,2021,DHw-9851,2022-10-18 04:59:28,2024-01-30 04:59:28
100,100,Honda Civic,2019,mUa-2495,2024-01-10 06:06:22,2024-02-10 06:06:22
101,101,Hyundai Elantra,2025,SWs-7142,2024-12-03 19:19:13,2025-03-22 19:19:13
102,102,Tesla Model 3,2021,yEq-5059,2023-06-25 04:46:32,2025-01-06 04:46:32
103,103,Tesla Model Y,2018,KGI-2221,2023-06-26 15:58:22,2023-08-03 15:58:22
104,104,Toyota Corolla,2019,ciT-7918,2021-09-22 00:03:39,2022-12-28 00:03:39
105,105,Tesla Model 3,2025,SeO-3131,2022-10-02 13:05:49,2023-01-12 13:05:49
106,106,Hyundai Elantra,2024,yng-5498,2024-09-18 09:15:47,2025-01-17 09:15:47
107,107,Honda Civic,2019,nPr-3673,2023-06-20 12:51:07,2024-06-04 12:51:07
108,108,Toyota Corolla,2022,vBi-5152,2024-01-19 05:58:19,2024-07-07 05:58:19
109,109,Honda Accord,2020,rQD-5781,2023-12-10 09:31:08,2025-10-26 09:31:08
110,110,Tesla Model 3,2019,mVh-7718,2021-09-18 10:11:13,2023-04-14 10:11:13
111,111,Toyota Prius,2020,IXm-2924,2025-05-04 12:46:39,2026-08-27 12:46:39
112,112,Toyota Corolla,2021,phV-4730,2023-02-08 04:47:52,2024-12-12 04:47:52
113,113,Tesla Model 3,2024,pVX-3407,2023-09-10 11:42:13,2025-07-01 11:42:13
114,114,Tesla Model Y,2021,Amt-1796,2022-11-19 13:58:24,2023-03-17 13:58:24
115,115,Honda Civic,2020,luw-2760,2023-12-18 13:55:21,2026-02-25 13:55:21
116,116,Honda Civic,2024,HCk-2992,2021-10-26 17:42:47,2022-11-19 17:42:47
117,117,Honda Accord,2023,JuC-0837,2024-12-19 22:17:55,2027-04-08 22:17:55
118,118,Tesla Model 3,2021,smi-4583,2022-08-09 21:59:27,2023-06-18 21:59:27
119,119,Honda Civic,2021,lxI-7778,2025-03-05 04:25:03,2026-10-22 04:25:03
120,120,Kia Forte,2018,cln-5074,2022-12-07 16:47:22,2025-05-23 16:47:22
121,121,Kia Forte,2021,etV-0833,2023-07-05 08:03:54,2025-01-15 08:03:54
122,122,Hyundai Elantra,2024,UHp-1033,2022-11-12 05:56:48,2023-10-10 05:56:48
123,123,Toyota Prius,2021,zkA-0037,2024-02-08 12:34:21,2025-07-28 12:34:21
124,124,Honda Accord,2019,bvQ-6957,2025-06-19 04:39:07,2026-03-22 04:39:07
125,125,Tesla Model Y,2019,Aho-5237,2022-12-11 20:34:02,2024-07-03 20:34:02
126,126,Toyota Prius,2023,CMH-6485,2021-12-11 04:15:36,2022-11-30 04:15:36
127,127,Tesla Model 3,2024,uIi-2016,2023-06-13 08:54:53,2025-11-18 08:54:53
128,128,Honda Accord,2023,nNJ-2172,2024-12-23 00:47:20,2026-08-04 00:47:20
129,129,Tesla Model 3,2025,RxT-0369,2021-08-24 10:27:51,2023-11-20 10:27:51
130,130,Honda Civic,2018,NrJ-0480,2025-03-14 12:52:34,2026-12-05 12:52:34
131,131,Honda Civic,2018,sFp-5291,2025-04-16 23:26:55,2026-02-08 23:26:55
132,132,Hyundai Elantra,2018,bCa-6905,2022-10-27 05:30:08,2023-01-26 05:30:08
133,133,Honda Accord,2022,fVH-4765,2022-05-15 06:07:36,2024-03-18 06:07:36
134,134,Honda Accord,2024,krl-6918,2023-12-03 11:12:44,2025-12-20 11:12:44
135,135,Honda Accord,2019,Xbb-6886,2021-09-08 10:22:36,2023-07-25 10:22:36
136,136,Tesla Model 3,2022,hUL-4056,2022-04-23 23:03:43,2022-08-16 23:03:43
137,137,Kia Forte,2019,GuE-8384,2024-09-29 01:58:42,2026-04-05 01:58:42
138,138,Hyundai Elantra,2020,RsN-9173,2022-07-22 11:27:57,2024-02-21 11:27:57
139,139,Toyota Corolla,2024,Zsg-6925,2021-12-01 13:24:09,2023-08-23 13:24:09
140,140,Honda Civic,2022,znM-9277,2021-11-16 13:55:46,2023-12-01 13:55:46
141,141,Honda Accord,2021,LCb-9884,2025-06-19 17:18:35,2025-09-16 17:18:35
142,142,Hyundai Elantra,2019,qMs-7839,2021-08-12 00:07:05,2022-11-29 00:07:05
143,143,Honda Civic,2025,Gpl-7716,2022-01-21 22:55:31,2023-11-08 22:55:31
144,144,Toyota Prius,2022,lkN-5256,2023-08-05 07:11:22,2025-07-17 07:11:22
145,145,Tesla Model 3,2019,HAz-0813,2025-06-13 21:01:18,2025-07-25 21:01:18
146,146,Tesla Model 3,2018,PWI-8109,2023-06-20 06:21:11,2024-01-03 06:21:11
147,147,Tesla Model Y,2023,ZBX-3437,2022-04-17 18:58:52,2023-11-03 18:58:52
148,148,Kia Forte,2020,vCA-2522,2022-12-21 03:43:24,2024-02-04 03:43:24
149,149,Tesla Model 3,2022,UVW-7238,2024-07-11 22:52:56,2026-08-30 22:52:56
150,150,Honda Civic,2018,GrQ-0966,2022-01-06 21:52:50,2023-01-14 21:52:50
151,151,Honda Accord,2022,idc-2473,2023-12-07 14:43:31,2025-06-25 14:43:31
152,152,Honda Civic,2022,XBp-7169,2022-05-15 10:00:37,2024-06-12 10:00:37
153,153,Honda Civic,2025,vok-6328,2023-08-20 07:16:11,2024-12-28 07:16:11
154,154,Toyota Corolla,2018,fAH-3902,2025-05-26 22:45:36,2026-11-18 22:45:36
155,155,Tesla Model 3,2023,qxk-6866,2022-02-02 19:56:51,2022-08-12 19:56:51
156,156,Kia Forte,2019,cDe-6453,2024-07-17 15:45:10,2026-03-26 15:45:10
157,157,Honda Civic,2021,rur-5806,2023-02-07 23:16:44,2025-04-05 23:16:44
158,158,Toyota Prius,2018,MSx-3185,2024-09-25 20:57:22,2024-11-06 20:57:22
159,159,Hyundai Elantra,2018,VLz-2843,2023-11-23 16:59:07,2025-04-19 16:59:07
160,160,Toyota Corolla,2024,PJR-9191,2022-08-02 14:36:07,2023-02-01 14:36:07
161,161,Tesla Model 3,2018,PMG-5471,2022-06-01 17:13:24,2024-01-18 17:13:24
162,162,Honda Accord,2021,Nvo-2001,2022-11-22 01:50:17,2023-11-16 01:50:17
163,163,Hyundai Elantra,2024,esO-3247,2021-09-21 02:50:42,2023-10-28 02:50:42
164,164,Toyota Corolla,2022,dHp-5534,2025-06-28 09:24:02,2027-11-20 09:24:02
165,165,Honda Civic,2023,MzA-6159,2024-08-11 14:19:06,2025-01-10 14:19:06
166,166,Toyota Prius,2020,QGn-5913,2023-06-03 17:50:58,2024-02-16 17:50:58
167,167,Toyota Prius,2024,lmS-8936,2023-07-05 07:19:08,2023-10-13 07:19:08
168,168,Tesla Model Y,2022,dcE-6528,2025-02-10 01:16:43,2027-05-13 01:16:43
169,169,Kia Forte,2023,vcR-8725,2025-01-03 09:54:45,2025-05-01 09:54:45
170,170,Tesla Model Y,2018,OTY-3453,2021-10-17 22:46:52,2022-11-28 22:46:52
171,171,Hyundai Elantra,2022,vEE-4126,2022-04-26 18:28:43,2023-12-24 18:28:43
172,172,Kia Forte,2021,MBN-3079,2024-05-17 23:29:25,2025-10-04 23:29:25
173,173,Toyota Corolla,2025,yCY-2719,2024-12-26 22:22:56,2027-03-27 22:22:56
174,174,Hyundai Elantra,2021,hgz-5895,2024-11-15 18:56:01,2025-05-18 18:56:01
175,175,Toyota Prius,2024,bcD-9060,2022-02-09 13:07:01,2022-04-04 13:07:01
176,176,Hyundai Elantra,2023,fJC-2724,2022-12-14 01:39:48,2024-10-25 01:39:48
177,177,Toyota Prius,2023,TVJ-7049,2021-08-23 07:37:54,2021-09-23 07:37:54
178,178,Honda Accord,2022,EdH-3333,2022-06-11 08:08:12,2022-10-25 08:08:12
179,179,Hyundai Elantra,2021,Lhs-8426,2022-10-07 14:33:59,2024-01-09 14:33:59
180,180,Tesla Model Y,2018,oEE-1113,2024-01-09 23:41:02,2024-07-02 23:41:02
181,181,Kia Forte,2019,UVe-4791,2025-05-11 08:41:17,2025-07-24 08:41:17
182,182,Hyundai Elantra,2024,gXO-9302,2022-09-30 08:27:21,2024-10-16 08:27:21
183,183,Toyota Corolla,2025,hkW-3661,2025-06-22 07:44:58,2027-08-26 07:44:58
184,184,Honda Civic,2019,pGv-5895,2023-03-09 07:57:06,2024-09-06 07:57:06
185,185,Tesla Model 3,2024,Ceo-9859,2023-10-12 14:45:49,2024-01-26 14:45:49
186,186,Toyota Prius,2024,PYC-3980,2023-08-01 22:48:53,2025-07-09 22:48:53
187,187,Tesla Model 3,2021,QSy-3585,2023-11-01 04:10:49,2024-09-24 04:10:49
188,188,Kia Forte,2023,OSG-5572,2023-04-26 20:50:16,2025-08-23 20:50:16
189,189,Honda Accord,2023,wGK-1510,2023-05-08 06:18:47,2024-04-27 06:18:47
190,190,Tesla Model Y,2022,CWr-4103,2023-12-15 11:19:54,2024-09-09 11:19:54
191,191,Honda Civic,2021,Dps-1467,2025-02-17 21:04:12,2025-08-05 21:04:12
192,192,Honda Civic,2020,dzb-1816,2024-04-09 03:41:21,2024-08-25 03:41:21
193,193,Tesla Model 3,2025,ykC-7212,2021-12-13 08:59:37,2023-05-04 08:59:37
194,194,Toyota Corolla,2024,IlT-4553,2024-08-15 15:01:08,2025-01-15 15:01:08
195,195,Toyota Corolla,2021,aru-9762,2025-07-02 11:02:30,2026-11-06 11:02:30
196,196,Kia Forte,2025,eQX-4089,2022-06-24 12:39:02,2023-04-21 12:39:02
197,197,Honda Civic,2019,obH-3747,2024-02-20 04:54:45,2024-08-29 04:54:45
198,198,Kia Forte,2018,ksM-0764,2025-05-29 11:28:45,2026-02-03 11:28:45
199,199,Toyota Corolla,2020,jru-1391,2024-03-22 00:32:40,2024-07-23 00:32:40
200,200,Hyundai Elantra,2023,ZTp-3803,2021-09-16 22:59:54,2022-11-25 22:59:54
201,201,Toyota Prius,2022,YUM-5839,2021-09-20 01:04:26,2022-07-13 01:04:26
202,202,Tesla Model 3,2018,wZz-4838,2023-07-24 21:57:32,2024-10-10 21:57:32
203,203,Tesla Model Y,2021,PNY-9380,2023-09-25 05:40:14,2024-01-29 05:40:14
204,204,Tesla Model Y,2019,aSQ-5965,2022-06-10 01:41:54,2024-10-10 01:41:54
205,205,Tesla Model 3,2019,NhI-0903,2024-11-21 07:35:40,2025-01-02 07:35:40
206,206,Toyota Prius,2021,vjQ-6419,2022-06-01 04:46:18,2022-11-11 04:46:18
207,207,Hyundai Elantra,2024,YSb-6441,2021-12-09 23:47:55,2023-01-24 23:47:55
208,208,Honda Civic,2022,beh-3157,2021-12-18 13:14:09,2024-04-28 13:14:09
209,209,Honda Civic,2018,GyI-8520,2023-07-04 20:34:50,2023-10-08 20:34:50
210,210,Hyundai Elantra,2025,kPW-8582,2024-03-11 03:48:56,2026-07-17 03:48:56
211,211,Tesla Model 3,2019,JvO-0976,2021-12-15 01:58:05,2024-05-30 01:58:05
212,212,Toyota Corolla,2019,qdJ-8119,2023-11-29 19:37:35,2024-02-10 19:37:35
213,213,Tesla Model Y,2018,oAA-9439,2024-10-19 19:39:58,2025-05-09 19:39:58
214,214,Honda Accord,2024,xeE-3788,2022-12-08 05:43:58,2024-05-29 05:43:58
215,215,Toyota Prius,2024,ITz-3009,2023-11-15 13:10:34,2025-11-13 13:10:34
216,216,Honda Accord,2020,Izz-5448,2024-03-23 13:46:46,2025-04-19 13:46:46
217,217,Hyundai Elantra,2020,ACQ-3269,2024-02-08 14:51:17,2024-12-15 14:51:17
218,218,Kia Forte,2025,LHV-5963,2023-04-09 13:12:13,2023-10-08 13:12:13
219,219,Toyota Prius,2021,OPc-2736,2021-12-15 18:30:50,2023-11-07 18:30:50
220,220,Kia Forte,2025,qWo-2795,2022-07-06 01:44:34,2023-09-30 01:44:34
221,221,Tesla Model Y,2018,ztX-7319,2023-03-28 11:00:40,2023-07-25 11:00:40
222,222,Kia Forte,2024,IlN-3009,2025-07-12 11:19:55,2025-12-29 11:19:55
223,223,Honda Accord,2021,Eby-0768,2022-04-25 18:02:43,2024-03-13 18:02:43
224,224,Hyundai Elantra,2018,hwf-9825,2022-05-24 06:12:46,2023-07-19 06:12:46
225,225,Toyota Corolla,2025,irc-7030,2021-11-17 11:25:24,2023-06-27 11:25:24
226,226,Tesla Model Y,2023,Ncm-7516,2024-05-02 17:28:01,2026-01-01 17:28:01
227,227,Toyota Corolla,2024,tcT-0364,2024-02-04 07:20:40,2024-12-06 07:20:40
228,228,Tesla Model 3,2018,Ayo-0210,2022-07-21 06:57:21,2023-07-12 06:57:21
229,229,Hyundai Elantra,2018,EuC-8205,2023-05-19 19:41:42,2025-09-25 19:41:42
230,230,Kia Forte,2018,Sqh-9549,2022-03-19 09:05:53,2024-07-24 09:05:53
231,231,Tesla Model Y,2023,Vgg-6249,2024-02-27 23:00:30,2026-05-22 23:00:30
232,232,Hyundai Elantra,2020,QkQ-6894,2023-03-16 00:01:50,2023-07-26 00:01:50
233,233,Hyundai Elantra,2021,ypg-2833,2023-06-29 20:36:14,2024-04-26 20:36:14
234,234,Toyota Prius,2021,WbS-2652,2024-11-07 16:31:59,2026-07-19 16:31:59
235,235,Honda Accord,2023,UMA-4515,2023-03-05 21:56:58,2025-08-10 21:56:58
236,236,Tesla Model 3,2020,kLN-9294,2022-08-20 17:24:34,2023-05-19 17:24:34
237,237,Toyota Corolla,2023,PdX-0504,2021-11-29 21:28:14,2023-08-26 21:28:14
238,238,Toyota Prius,2023,jnT-5649,2024-05-29 12:52:55,2026-01-30 12:52:55
239,239,Tesla Model 3,2021,bCb-1655,2023-03-30 15:43:07,2025-09-01 15:43:07
240,240,Tesla Model Y,2022,dZI-8900,2024-08-08 09:59:45,2025-03-05 09:59:45
241,241,Tesla Model Y,2018,kpk-4155,2025-01-21 11:01:23,2025-05-23 11:01:23
242,242,Toyota Prius,2021,nmN-8669,2025-06-13 06:06:26,2027-03-21 06:06:26
243,243,Hyundai Elantra,2018,qEd-9627,2021-09-10 06:00:04,2023-04-02 06:00:04
244,244,Tesla Model Y,2018,ZEY-9355,2021-08-06 01:06:53,2022-08-10 01:06:53
245,245,Hyundai Elantra,2020,BAt-9084,2024-10-04 03:46:16,2025-10-17 03:46:16
246,246,Tesla Model 3,2023,moF-9694,2025-06-28 11:45:38,2025-09-26 11:45:38
247,247,Toyota Prius,2020,UHx-0169,2022-08-31 05:04:47,2024-05-22 05:04:47
248,248,Tesla Model 3,2019,psi-0950,2022-03-29 14:30:44,2024-09-10 14:30:44
249,249,Toyota Corolla,2019,ghA-7640,2023-10-20 01:29:55,2024-12-05 01:29:55
250,250,Honda Accord,2019,lsB-8684,2025-02-10 01:01:23,2026-02-19 01:01:23
